Date,Open,High,Low,Close,Adj Close,Volume
2000-06-29,30.023438,30.093750,29.375000,29.531250,16.429117,12743200
2000-06-30,29.406250,29.406250,28.125000,28.718750,15.977097,19122800
2000-07-03,28.906250,29.250000,28.906250,29.093750,16.185715,7707200
2000-07-05,29.125000,29.593750,29.125000,29.375000,16.342184,6960400
2000-07-06,29.375000,29.468750,28.906250,29.468750,16.394341,5041200
2000-07-07,29.468750,29.625000,29.187500,29.375000,16.342184,5043200
2000-07-10,29.343750,29.343750,28.625000,28.781250,16.011871,6447200
2000-07-11,28.750000,28.750000,27.906250,28.093750,15.629385,8134200
2000-07-12,28.093750,28.250000,27.625000,28.062500,15.612008,7153800
2000-07-13,28.218750,29.062500,28.218750,28.968750,16.116180,8450600
2000-07-14,28.968750,29.218750,28.500000,28.812500,16.029247,4648000
2000-07-17,28.812500,28.812500,28.281250,28.671875,15.951016,7003000
2000-07-18,28.671875,29.375000,28.312500,29.093750,16.185715,7595200
2000-07-19,29.375000,30.312500,29.375000,30.250000,16.828968,16435400
2000-07-20,30.250000,30.343750,29.937500,30.250000,16.828968,9225600
2000-07-21,30.250000,30.625000,30.179688,30.429688,16.928942,8141200
2000-07-24,30.000000,30.000000,29.531250,29.625000,16.481270,6808200
2000-07-25,29.625000,29.656250,29.406250,29.625000,16.481270,4664400
2000-07-26,29.625000,30.000000,29.312500,29.406250,16.359575,10162400
2000-07-27,29.843750,30.593750,29.843750,30.218750,16.811590,9117200
2000-07-28,30.218750,31.500000,30.031250,31.343750,17.437462,13619000
2000-07-31,31.187500,31.187500,30.625000,30.656250,17.054983,8017000
2000-08-01,30.656250,32.000000,30.656250,31.500000,17.524384,9321400
2000-08-02,31.500000,31.531250,31.125000,31.468750,17.506998,6662400
2000-08-03,31.468750,31.875000,31.031250,31.500000,17.524384,6653400
2000-08-04,31.312500,31.312500,30.562500,31.062500,17.280998,6006600
2000-08-07,30.875000,30.875000,30.562500,30.687500,17.072372,4263600
2000-08-08,30.687500,31.187500,30.250000,30.468750,16.950680,6135800
2000-08-09,30.218750,30.218750,29.843750,29.906250,16.637735,7111600
